alpha,fold_id,error_rate,log_loss,auroc,step_size,did_converge,L1_norm_grad
0.0001,1,0.0534,0.6012,0.9876,0.8,1,0
0.0001,2,0.0491,0.5104,0.9879,0.8,1,0
0.0001,3,0.0506,0.5827,0.9865,0.8,1,0
0.01,1,0.0529,0.4941,0.988,0.8,1,0
0.01,2,0.0483,0.4359,0.9881,0.8,1,0
0.01,3,0.0488,0.4846,0.9869,0.8,1,0
1,1,0.0399,0.1421,0.9916,0.5,1,0
1,2,0.0399,0.1493,0.9909,0.5,1,0
1,3,0.0394,0.1497,0.9909,0.5,1,0
100,1,0.0333,0.1112,0.9937,0.05,1,0
100,2,0.0292,0.1071,0.9948,0.05,1,0
100,3,0.0315,0.1058,0.9947,0.05,1,0
10000,1,0.0666,0.4423,0.9831,0.05,1,0
10000,2,0.0592,0.4402,0.9856,0.05,1,0
10000,3,0.0519,0.4358,0.9878,0.05,1,0
